Zeitstempel;Participant number (XXX);Expert number;1.2 Time and Motion;1.3 Instrument Handling;1.4 Knowledge of Instruments;1.5 Flow of Procedure;1.6 Knowledge of Specific Procedure;1.7 Overall Performance;1.8 Quality of final product;QRS Overal;2.2 Handles bony tissue and fracture edges appropriately;2.4 Uses retractors and positioning aids appropriately to maintain exposure and assist reduction;2.5 Reduces fracture using appropriate techniques;2.6 Holds reduction with appropriate provisional fixation;2.7 Overall quality of provisional fixation ;2.6 Drill proximal cortex with 3.5;2.9 Inserts 2.5 guide and drills dor cortex with 2.5;2.10 Measures with depth gauge;2.11 Places screw, engaging in far cortex plate;2.13 Appropriately secures plate to bone (holds plate to bone with clamps or K-wire);2.14 Places cortical screws using appropriate techniques;2.15 Places cortical screws in an appropriate sequence;OSATS Overall;3.1 <5 discrete attempts at reduction;3.2 Safely achieved appropriate reduction using instruments;3.3 Reduction clamps/ wires positioned to facilitate instrumentation without removal;3.4 Appropriate use of soft tissue protector/ drill sleeve;3.5 Appropriate drill size for lag screw technique;3.6 Measured screw length appropriately with depth gauge;3.7 Lag screw engages and compresses the far cortex;3.8 Lag screw perpendicular to fracture/ does not displace fracture;3.9 If not lag screw, achieves compression with plate;3.10 Safely/ effectively holds plate on bone with forceps/clamp/wire;3.11 Screws drilled using appropriate guide/ soft tissue protector;3.12 Plate appropriately secured to bone in reasonable position;3.13 all screws appropriate length;CFS Overall;Did you recognize the participant?;Participant Number;Case Type
2024/05/08 12:41:38 PM OESZ;241;2;4;4;4;4;4;4;4;28;1;0;0;0;0;0;1;1;1;1;1;1;7;0;0;0;0;1;1;1;0; ;0;0;0;1;4;No;24;radius
2024/05/08 12:43:22 PM OESZ;251;2;6;6;6;6;6;6;6;42;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;25;radius
2024/05/08 12:44:47 PM OESZ;261;2;8;8;8;8;8;8;8;56;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;26;radius
2024/05/08 12:49:44 PM OESZ;271;2;7;7;7;7;7;7;7;49;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;27;radius
2024/05/08 12:52:34 PM OESZ;281;2;10;10;10;10;10;10;10;70;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;28;radius
2024/05/08 12:55:26 PM OESZ;291;2;6;7;7;6;6;6;6;44;1;1;1;1;1;1;1;1;1;1;1;1;12;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;29;radius
2024/05/08 2:27:57 PM OESZ;11;2;8;8;8;8;8;8;8;56;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;0;1;1;1;1; ;1;1;1;1;11;No;1;radius
2024/05/08 2:30:08 PM OESZ;21;2;7;7;7;7;7;7;7;49;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;0;1;1;1;1; ;1;1;1;1;11;No;2;radius
2024/05/08 2:32:21 PM OESZ;31;2;9;9;9;9;9;9;9;63;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;3;radius
2024/05/08 2:34:55 PM OESZ;41;2;6;6;6;6;6;6;6;42;1;1;1;1;1;1;1;1;1;1;1;1;12;0;0;0;0;1;1;1;1; ;1;0;1;1;7;No;4;radius
2024/05/08 2:37:35 PM OESZ;51;2;5;5;5;5;5;5;5;35;1;1;1;1;1;1;1;1;1;1;1;1;12;0;0;0;0;1;1;1;1; ;0;0;0;0;4;No;5;radius
2024/05/08 2:39:31 PM OESZ;61;2;4;4;4;4;4;4;4;28;0;0;0;0;0;1;1;1;1;1;1;1;7;0;0;0;0;0;0;0;0; ;0;0;0;0;0;No;6;radius
2024/05/08 2:43:59 PM OESZ;71;2;5;5;5;5;5;5;5;35;0;0;0;0;1;1;1;1;1;1;1;1;8;0;0;0;0;1;1;1;1; ;1;1;1;1;8;No;7;radius
2024/05/08 2:46:52 PM OESZ;243;2;8;8;8;8;8;8;8;56;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;1;1;  ; ;1;1;1;1;1;11;No;24;Ulna
2024/05/08 2:48:41 PM OESZ;253;2;7;7;7;7;7;7;7;49;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;1;1;  ; ;1;1;1;1;1;11;No;25;Ulna
2024/05/08 2:49:56 PM OESZ;263;2;8;8;8;8;8;8;8;56;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;1;1;  ; ;1;1;1;1;1;11;No;26;Ulna
2024/05/08 2:53:18 PM OESZ;273;2;7;7;7;7;7;7;7;49;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;1;1;  ; ;1;1;1;1;1;11;No;27;Ulna
2024/05/08 2:54:53 PM OESZ;283;2;8;8;8;8;8;8;8;56;3;3;3;3;3; ; ;3;3;3;3;3;30;1;1;1;1;1;1;  ; ;1;1;1;1;1;11;No;28;Ulna
2024/05/08 2:57:09 PM OESZ;293;2;6;6;6;6;6;6;6;42;1;1;1;1;1; ; ;1;1;1;1;1;10;1;1;1;1;1;1;  ; ;1;1;1;1;1;11;No;29;Ulna
2024/05/08 3:01:20 PM OESZ;163;2;8;8;8;8;8;8;8;56;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;16;Ulna
2024/05/08 3:03:10 PM OESZ;173;2;7;7;7;7;7;7;7;49;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;17;Ulna
2024/05/08 3:04:44 PM OESZ;183;2;6;6;6;6;6;6;6;42;1;1;1;1;1; ; ;1;1;1;1;1;10;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;18;Ulna
2024/05/08 3:15:45 PM OESZ;203;2;7;7;7;7;7;7;7;49;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;1;1;  ; ;1;1;1;1;1;11;No;20;Ulna
2024/05/08 3:17:30 PM OESZ;213;2;7;7;7;7;7;7;7;49;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;21;Ulna
2024/05/08 3:19:57 PM OESZ;223;2;8;8;8;8;8;8;8;56;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;22;Ulna
2024/05/08 3:22:47 PM OESZ;233;2;8;8;8;8;8;8;8;56;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;23;Ulna
2024/05/08 3:28:22 PM OESZ;103;2;8;8;8;8;8;8;8;56;3;3;3;3;3; ; ;3;3;3;3;3;30;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;10;Ulna
2024/05/08 3:30:26 PM OESZ;113;2;6;6;6;6;6;6;6;42;1;1;1;1;1; ; ;1;1;1;1;1;10;0;0;0;1;0;1;  ; ;1;1;1;1;1;7;No;11;Ulna
2024/05/08 3:32:16 PM OESZ;123;2;8;8;8;8;8;8;8;56;3;3;3;3;3; ; ;3;3;3;3;3;30;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;12;Ulna
2024/05/08 3:34:15 PM OESZ;133;2;6;6;6;6;6;6;6;42;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;13;Ulna
2024/05/08 3:35:51 PM OESZ;143;2;10;10;10;10;10;10;10;70;3;3;3;3;3; ; ;3;3;3;3;3;30;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;;14;Ulna
2024/05/08 3:37:52 PM OESZ;153;2;9;9;9;9;9;9;9;63;3;3;3;3;3; ; ;3;3;3;3;3;30;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;15;Ulna
2024/06/10 3:02:25 PM OESZ;13;2;9;9;9;9;9;9;9;63;3;3;3;3;3; ; ;3;3;3;3;3;30;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;1;Ulna
2024/06/10 3:04:15 PM OESZ;23;2;8;8;8;8;8;8;8;56;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;1;1;  ; ;1;1;1;1;1;11;No;2;Ulna
2024/06/10 3:05:51 PM OESZ;33;2;9;9;9;9;9;9;9;63;3;3;3;3;3; ; ;3;3;3;3;3;30;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;3;Ulna
2024/06/10 3:07:47 PM OESZ;43;2;7;7;7;7;7;7;7;49;2;2;2;2;2; ; ;2;2;2;2;2;20;0;1;1;1;0;1;  ; ;1;1;1;1;1;9;No;4;Ulna
2024/06/10 3:09:56 PM OESZ;53;2;6;6;6;6;6;6;6;42;2;1;1;1;1; ; ;2;2;2;2;2;16;0;1;1;1;0;1;  ; ;1;1;1;1;1;9;No;5;Ulna
2024/06/10 3:11:29 PM OESZ;63;2;7;7;7;7;7;7;7;49;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;0;0;  ; ;1;1;1;1;1;9;No;6;Ulna
2024/06/10 3:14:17 PM OESZ;73;2;6;6;6;6;6;6;6;42;1;1;1;1;1; ; ;1;2;2;2;2;14;0;1;1;1;1;1;  ; ;1;1;1;1;1;10;No;7;Ulna
2024/06/10 4:47:18 PM OESZ;12;2;5;5;5;5;5;5;5;35;1;1;1;1;1;1;2;1;1;1;1;1;13;0;1;0;1;1;1;1;1; ;1;1;1;1;10;No;1;malleolus
2024/06/10 4:49:42 PM OESZ;22;2;5;5;5;5;5;5;5;35;1;1;1;1;1;1;1;1;1;1;1;1;12;0;0;0;0;1;0;1;1; ;1;1;1;1;7;No;2;malleolus
2024/06/10 4:51:57 PM OESZ;32;2;8;9;9;9;9;9;9;62;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;3;malleolus
2024/06/10 4:53:59 PM OESZ;42;2;7;6;6;7;6;6;6;44;1;1;1;1;1;2;2;2;2;2;2;2;19;0;0;1;1;1;1;1;1; ;1;1;1;1;10;No;4;malleolus
2024/06/10 4:55:23 PM OESZ;52;2;8;8;8;8;8;8;8;56;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;5;malleolus
2024/06/10 4:56:50 PM OESZ;62;2;8;8;7;7;7;7;7;51;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;6;malleolus
2024/06/10 5:05:24 PM OESZ;72;2;8;8;8;8;8;8;8;56;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;7;malleolus
2024/06/10 5:10:30 PM OESZ;102;2;8;8;8;8;8;8;8;56;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;10;malleolus
2024/06/10 5:12:01 PM OESZ;112;2;8;8;8;8;8;8;8;56;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;11;malleolus
2024/06/10 5:13:19 PM OESZ;122;2;9;9;9;9;9;9;9;63;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;12;malleolus
2024/06/10 5:14:52 PM OESZ;132;2;8;8;8;8;8;8;8;56;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;13;malleolus
2024/06/10 5:16:00 PM OESZ;142;2;10;10;10;10;10;10;10;70;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;Yes;14;malleolus
2024/06/10 5:17:39 PM OESZ;152;2;10;9;9;9;9;9;9;64;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;15;malleolus
2024/06/10 5:20:38 PM OESZ;162;2;7;7;7;7;6;6;7;47;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;16;malleolus
2024/06/10 5:22:07 PM OESZ;172;2;7;7;7;7;7;7;7;49;2;2;2;2;2;2;2;2;2;2;2;2;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;17;malleolus
2024/06/10 5:23:49 PM OESZ;182;2;7;7;7;7;7;7;6;48;2;2;2;1;2;2;2;2;2;2;2;2;23;1;1;0;1;1;1;1;1; ;1;1;1;1;11;No;18;malleolus
2024/06/10 5:26:10 PM OESZ;192;2;5;6;5;6;6;5;5;38;1;1;0;1;0;1;1;1;1;1;1;1;10;0;0;0;1;1;1;1;1; ;1;1;1;1;9;No;19;malleolus
2024/06/10 5:27:35 PM OESZ;202;2;9;9;9;9;9;9;9;63;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;20;malleolus
2024/06/10 5:29:45 PM OESZ;212;2;6;6;6;5;5;6;6;40;1;1;0;0;1;0;0;2;2;2;2;2;13;1;1;1;1;0;1;0;0; ;1;1;1;1;9;No;21;malleolus
2024/06/10 5:31:36 PM OESZ;222;2;5;5;5;5;5;5;5;35;1;1;1;1;1;1;1;1;1;1;1;1;12;0;1;0;1;1;1;1;1; ;1;1;1;1;10;No;22;malleolus
2024/06/10 5:33:04 PM OESZ;232;2;8;8;8;8;8;8;8;56;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;23;malleolus
2024/06/10 5:34:59 PM OESZ;242;2;8;8;8;8;8;8;8;56;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;24;malleolus
2024/06/10 5:38:13 PM OESZ;252;2;8;8;8;8;8;8;8;56;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;25;malleolus
2024/06/10 5:39:35 PM OESZ;262;2;8;8;8;8;8;8;8;56;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;26;malleolus
2024/06/10 5:41:38 PM OESZ;272;2;5;5;5;5;5;5;5;35;0;0;0;0;0;1;1;1;1;0;1;1;6;0;0;0;1;1;1;0;0; ;0;1;1;1;6;No;27;malleolus
2024/06/10 5:42:53 PM OESZ;282;2;8;8;8;8;8;8;8;56;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;28;malleolus
2024/06/10 5:44:21 PM OESZ;292;2;8;8;8;8;8;8;8;56;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;29;malleolus
2024/06/14 3:28:38 PM OESZ;13;1;7;8;9;8;9;8;9;58;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;1;Ulna
2024/06/14 3:47:23 PM OESZ;23;1;4;5;6;5;5;5;7;37;1;1;1;1;1; ; ;1;2;1;1;0;10;0;1;0;1;0;1;  ; ;1;1;1;1;1;8;;2;Ulna
2024/06/14 3:56:27 PM OESZ;33;1;8;9;9;9;9;9;9;62;3;3;3;3;3; ; ;3;3;3;3;3;30;1;1;1;1;1;1;  ; ;1;1;1;1;1;11;No;3;Ulna
2024/06/26 2:03:20 PM OESZ;13;4;8;8;9;9;8;8;8;58;2;2;2;2;2; ; ;2;2;2;2;2;20;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;1;Ulna
2024/07/01 10:29:19 PM OESZ;43;1;4;6;7;4;5;6;7;39;1;0;1;1;2; ; ;2;2;1;1;2;13;0;1;0;1;0;1;  ; ;0;1;1;1;1;7;No;4;Ulna
2024/07/01 10:37:14 PM OESZ;53;1;7;7;7;7;7;6;6;47;0;2;2;2;1; ; ;2;2;2;0;2;15;0;1;1;1;0;1;  ; ;0;1;1;1;1;8;No;5;Ulna
2024/07/01 10:43:46 PM OESZ;63;1;4;6;6;5;6;5;6;38;1;1;1;1;2; ; ;1;2;1;1;2;13;0;1;1;1;0;1;  ; ;1;1;1;1;1;9;No;6;Ulna
2024/07/01 10:53:48 PM OESZ;73;1;4;6;7;5;6;5;6;39;1;0;1;1;1; ; ;1;2;1;1;2;11;0;1;1;1;0;1;  ; ;0;1;1;1;1;8;No;7;Ulna
2024/07/03 5:46:12 PM OESZ;23;4;5;7;8;7;8;7;8;50;2;1;1;2;2; ; ;2;2;1;2;2;17;0;1;0;1;1;1;  ; ;1;0;1;1;1;8;No;2;Ulna
2024/07/03 5:50:34 PM OESZ;33;4;9;9;9;9;9;9;9;63;2;2;2;2;3; ; ;3;3;3;3;3;26;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;3;Ulna
2024/07/03 6:00:44 PM OESZ;43;4;4;6;6;5;7;6;6;40;1;1;0;1;1; ; ;1;2;1;1;2;11;0;0;0;1;0;1;  ; ;0;0;1;1;1;5;No;4;Ulna
2024/07/03 6:09:10 PM OESZ;53;4;7;7;7;7;7;7;5;47;2;2;0;0;1; ; ;2;0;2;2;2;13;1;1;0;1;1;1;  ; ;0;1;1;0;1;8;No;5;Ulna
2024/07/03 6:29:07 PM OESZ;63;4;6;6;6;6;6;7;7;44;2;2;0;0;2; ; ;2;2;2;2;2;16;0;0;0;1;0;1;  ; ;0;1;1;1;1;6;No;6;Ulna
2024/07/03 6:33:30 PM OESZ;73;4;7;6;8;7;6;6;6;46;1;1;1;1;2; ; ;2;2;2;0;2;14;0;0;0;1;1;1;  ; ;1;0;1;0;1;6;No;7;Ulna
2024/07/07 4:35:53 PM OESZ;93;4;6;7;7;6;8;7;9;50;2;1;1;1;2; ; ;2;2;1;2;2;16;1;0;0;1;0;1;  ; ;0;0;1;1;1;6;No;9;Ulna
2024/07/07 4:40:26 PM OESZ;103;4;9;8;9;8;9;9;9;61;2;2;0;2;3; ; ;3;3;2;3;3;23;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;10;Ulna
2024/07/07 4:44:00 PM OESZ;113;4;7;7;7;7;9;8;8;53;2;0;2;0;0; ; ;2;2;0;2;2;12;1;0;0;1;0;1;  ; ;1;0;1;1;1;7;No;11;Ulna
2024/07/07 4:48:23 PM OESZ;123;4;7;7;7;7;8;7;6;49;2;1;0;0;2; ; ;3;3;1;2;3;17;1;0;0;1;0;1;  ; ;1;0;1;1;1;7;No;12;Ulna
2024/07/07 4:52:43 PM OESZ;133;4;7;7;8;7;8;7;9;53;2;2;0;0;0; ; ;3;3;1;3;3;17;1;1;0;1;0;0;  ; ;0;1;1;1;1;7;No;13;Ulna
2024/07/07 5:29:29 PM OESZ;143;4;9;9;10;9;9;10;10;66;3;3;3;0;3; ; ;3;3;3;3;3;27;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;14;Ulna
2024/07/16 10:14:31 AM OESZ;163;4;7;8;9;8;9;8;9;58;2;2;0;2;2; ; ;3;3;2;3;3;22;1;0;0;1;0;1;  ; ;1;1;1;1;1;8;No;16;Ulna
2024/07/16 10:20:12 AM OESZ;173;4;8;8;9;9;9;9;9;61;3;2;0;0;3; ; ;3;2;3;3;3;22;1;0;0;1;0;1;  ; ;1;1;1;1;1;8;No;17;Ulna
2024/07/16 10:23:20 AM OESZ;183;4;7;7;7;5;6;6;7;45;1;0;0;0;1; ; ;2;3;0;3;3;13;0;0;0;1;1;1;  ; ;0;0;1;0;1;5;No;18;Ulna
2024/07/16 10:54:22 AM OESZ;203;4;10;10;10;9;10;10;10;69;3;3;3;0;3; ; ;3;3;3;3;3;27;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;20;Ulna
2024/07/16 11:52:03 AM OESZ;213;4;8;8;8;8;9;8;9;58;2;2;0;2;2; ; ;3;3;2;3;3;22;1;1;0;1;0;1;  ; ;0;1;1;1;1;8;No;21;Ulna
2024/07/16 12:20:23 PM OESZ;223;4;7;7;7;7;8;7;9;52;0;0;0;2;2; ; ;3;3;2;3;3;18;1;1;0;1;0;1;  ; ;0;1;1;1;1;8;No;22;Ulna
2024/07/16 12:24:21 PM OESZ;233;4;6;7;7;6;8;7;9;50;0;2;0;0;2; ; ;3;3;1;3;3;17;0;0;0;1;0;1;  ; ;1;0;1;1;1;6;No;23;Ulna
2024/07/17 3:05:38 PM OESZ;253;4;6;6;7;7;8;7;7;48;0;2;0;1;2; ; ;3;3;1;3;3;18;0;0;0;1;0;1;  ; ;0;0;1;1;1;5;No;25;Ulna
2024/07/17 3:08:31 PM OESZ;263;4;8;8;8;8;8;8;8;56;2;2;2;2;2; ; ;3;3;2;3;3;24;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;26;Ulna
2024/07/29 10:04:03 AM OESZ;263;1;5;5;5;5;6;5;8;39;1;1;1;1;1; ; ;1;1;1;0;0;8;0;1;1;1;0;1;  ; ;1;1;1;1;1;9;No;26;Ulna
2024/07/29 10:27:22 PM OESZ;273;1;5;5;5;5;6;5;6;37;1;0;1;1;1; ; ;1;1;1;0;0;7;0;1;0;1;0;0;  ; ;1;1;1;1;1;7;No;27;Ulna
2024/07/29 10:37:12 PM OESZ;283;1;9;9;9;9;8;10;8;62;3;0;3;3;2; ; ;3;3;3;0;0;20;1;1;1;1;0;1;  ; ;1;1;1;0;1;9;No;28;Ulna
2024/07/29 10:45:00 PM OESZ;293;1;7;8;9;7;8;8;8;55;2;2;2;2;2; ; ;2;2;2;0;0;16;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;29;Ulna
2024/07/29 11:10:16 PM OESZ;93;1;8;8;10;8;9;9;8;60;2;0;3;3;3; ; ;3;0;3;0;0;17;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;9;Ulna
2024/07/29 11:17:19 PM OESZ;103;1;10;10;10;10;10;10;10;70;3;3;3;3;3; ; ;3;3;3;0;0;24;1;1;1;1;0;1;  ; ;1;1;1;0;1;9;No;10;Ulna
2024/07/29 11:28:02 PM OESZ;113;1;5;7;8;7;8;7;8;50;2;2;2;2;2; ; ;3;2;2;0;0;17;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;11;Ulna
2024/07/29 11:36:32 PM OESZ;123;1;9;10;10;10;10;10;10;69;3;0;3;3;3; ; ;3;3;3;0;0;21;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;12;Ulna
2024/07/29 11:45:52 PM OESZ;133;1;6;6;6;6;7;6;8;45;2;0;1;2;2; ; ;2;0;2;0;0;11;1;1;1;0;0;1;  ; ;1;1;0;1;1;8;No;13;Ulna
2024/07/29 9:43:33 AM OESZ;243;1;6;7;8;7;8;7;9;52;2;2;2;2;2; ; ;2;2;2;2;2;20;0;1;1;0;0;1;  ; ;0;1;1;1;1;7;No;24;Ulna
2024/07/29 9:54:39 AM OESZ;253;1;4;5;5;5;5;5;7;36;0;1;1;1;1; ; ;1;1;1;0;0;7;0;1;0;1;0;1;  ; ;1;0;1;1;1;7;No;25;Ulna
2024/07/30 10:35:11 PM OESZ;143;1;10;10;10;10;10;10;10;70;3;0;3;3;3; ; ;3;3;3;0;0;21;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;14;Ulna
